# Ic = 22.08 A, n = 30.90 , Tavg = 28.68 K, 25Kstep2BEAMON28K
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-10-26_22:39:07.030000      11170.65        1.89556700e+00       -3.22762342e-07  28.6462  24.1820
0202-10-26_22:39:07.434000      11171.05        2.49526000e+00       -3.00883722e-07  28.6930  24.2064
0202-10-26_22:39:07.844000      11171.46        3.08403500e+00       -3.06957672e-07  28.6930  24.2064
0202-10-26_22:39:08.240000      11171.86        3.67883400e+00       -3.06771742e-07  28.6930  24.2064
0202-10-26_22:39:08.660000      11172.28        4.27411700e+00       -3.06709762e-07  28.6218  24.1242
0202-10-26_22:39:09.066000      11172.69        4.84735100e+00       -3.14581102e-07  28.6218  24.1242
0202-10-26_22:39:09.473000      11173.09        5.44093300e+00       -3.09870692e-07  28.6696  24.2168
0202-10-26_22:39:09.875000      11173.49        6.03561000e+00       -3.02432282e-07  28.6696  24.2168
0202-10-26_22:39:10.312000      11173.93        6.62625900e+00       -2.95923542e-07  28.6696  24.2168
0202-10-26_22:39:10.750000      11174.37        7.22559200e+00       -2.96357392e-07  28.6216  24.1408
0202-10-26_22:39:11.176000      11174.79        7.81949200e+00       -3.05220412e-07  28.6216  24.1408
0202-10-26_22:39:11.582000      11175.20        8.41318400e+00       -3.04166762e-07  28.6724  24.1719
0202-10-26_22:39:11.992000      11175.61        9.00905200e+00       -3.25115722e-07  28.6724  24.1719
0202-10-26_22:39:12.402000      11176.02        9.60357300e+00       -3.21396972e-07  28.6131  24.1875
0202-10-26_22:39:12.800000      11176.42        1.01966900e+01       -3.11108432e-07  28.6131  24.1875
0202-10-26_22:39:13.215000      11176.83        1.07689300e+01       -3.22760512e-07  28.6131  24.1875
0202-10-26_22:39:13.613000      11177.23        1.13661500e+01       -3.11666242e-07  28.6788  24.1101
0202-10-26_22:39:14.035000      11177.65        1.19567800e+01       -3.10612602e-07  28.6788  24.1101
0202-10-26_22:39:14.445000      11178.07        1.25528000e+01       -3.21768842e-07  28.6362  24.2046
0202-10-26_22:39:14.870000      11178.49        1.31477400e+01       -3.18112072e-07  28.6362  24.2046
0202-10-26_22:39:15.324000      11178.94        1.37385100e+01       -3.07451662e-07  28.6362  24.2046
0202-10-26_22:39:15.734000      11179.35        1.43413600e+01       -3.10736732e-07  28.6469  24.1246
0202-10-26_22:39:16.152000      11179.77        1.49270700e+01       -3.22574922e-07  28.6469  24.1246
0202-10-26_22:39:16.562000      11180.18        1.55241000e+01       -3.24248362e-07  28.6265  24.1590
0202-10-26_22:39:16.973000      11180.59        1.61178800e+01       -3.32553562e-07  28.6265  24.1590
0202-10-26_22:39:17.383000      11181.00        1.67112500e+01       -3.40548872e-07  28.6448  24.1801
0202-10-26_22:39:17.777000      11181.40        1.74911400e+01       -3.41416582e-07  28.6448  24.1801
0202-10-26_22:39:18.188000      11181.81        1.80875200e+01       -3.43957732e-07  28.6448  24.1801
0202-10-26_22:39:18.600000      11182.22        1.86815100e+01       -3.53316582e-07  28.5978  24.1007
0202-10-26_22:39:19.008000      11182.63        1.92766100e+01       -3.29082732e-07  28.5978  24.1007
0202-10-26_22:39:19.418000      11183.04        1.98713100e+01       -3.20219722e-07  28.6462  24.2002
0202-10-26_22:39:19.860000      11183.48        2.04648000e+01       -3.11232742e-07  28.6462  24.2002
0202-10-26_22:39:20.280000      11183.90        2.10634800e+01       -2.58550472e-07  28.6462  24.2002
0202-10-26_22:39:20.695000      11184.31        2.16353000e+01       -2.21920802e-07  28.6051  24.1258
0202-10-26_22:39:21.100000      11184.72        2.22293300e+01       -9.35000220e-08  28.6051  24.1258
0202-10-26_22:39:21.516000      11185.14        2.28281500e+01        2.73478828e-07  28.6473  24.1637
0202-10-26_22:39:21.918000      11185.54        2.34186300e+01        8.26333428e-07  28.6473  24.1637
0202-10-26_22:39:22.336000      11185.96        2.40120600e+01        2.69798007e-06  28.6473  24.1637
0202-10-26_22:39:22.760000      11186.38        2.46110200e+01        5.32533856e-06  28.6324  24.1833
0202-10-26_22:39:23.195000      11186.81        2.52063600e+01        1.11575153e-05  28.6324  24.1833
0202-10-26_22:39:23.590000      11187.21        2.58008200e+01        2.41120263e-05  28.6772  24.1161
