# Ic = 0.03 A, n = 5.69 , Tavg = 78.71 K, 77Kstep2beamoff_b_12p5nA
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-10-27_03:10:52.797000      27476.42        5.82371000e-03        3.60467120e-08  78.6693  76.4937
0202-10-27_03:10:52.990000      27476.61        6.59099600e-03        3.88977320e-08  78.6693  76.4937
0202-10-27_03:10:53.195000      27476.82        7.44881200e-03        3.54269220e-08  78.6693  76.4937
0202-10-27_03:10:53.390000      27477.01        8.36450900e-03        3.76581520e-08  78.6903  76.5214
0202-10-27_03:10:53.586000      27477.21        9.41526000e-03        3.32576720e-08  78.6903  76.5214
0202-10-27_03:10:53.790000      27477.41        1.06708200e-02        3.79680520e-08  78.6903  76.5214
0202-10-27_03:10:53.984000      27477.60        1.12744800e-02        3.93315820e-08  78.6903  76.5214
0202-10-27_03:10:54.188000      27477.81        1.26458000e-02        3.71003420e-08  78.6903  76.5214
0202-10-27_03:10:54.380000      27478.00        1.37381000e-02        3.23899720e-08  78.7042  76.4880
0202-10-27_03:10:54.570000      27478.19        1.45410100e-02        3.09024820e-08  78.7042  76.4880
0202-10-27_03:10:54.785000      27478.40        1.52444800e-02        3.20180920e-08  78.7042  76.4880
0202-10-27_03:10:54.984000      27478.61        1.66009600e-02        3.02207120e-08  78.7042  76.4880
0202-10-27_03:10:55.188000      27478.81        1.72079600e-02        3.33196520e-08  78.7042  76.4880
0202-10-27_03:10:55.383000      27479.00        1.81325600e-02        2.97248820e-08  78.7042  76.4880
0202-10-27_03:10:55.590000      27479.21        1.90701500e-02        3.10264420e-08  78.7364  76.5229
0202-10-27_03:10:55.780000      27479.40        2.01876800e-02        3.31956920e-08  78.7364  76.5229
0202-10-27_03:10:55.977000      27479.60        2.12903800e-02        3.34436020e-08  78.7364  76.5229
0202-10-27_03:10:56.184000      27479.80        2.20650800e-02        3.17701820e-08  78.7364  76.5229
0202-10-27_03:10:56.380000      27480.00        2.32316000e-02        2.63160620e-08  78.7072  76.4825
0202-10-27_03:10:56.574000      27480.19        2.42615700e-02        3.53649420e-08  78.7072  76.4825
0202-10-27_03:10:56.780000      27480.40        2.55156400e-02        3.69144120e-08  78.7072  76.4825
0202-10-27_03:10:56.973000      27480.59        2.63972100e-02        3.67904520e-08  78.7072  76.4825
0202-10-27_03:10:57.170000      27480.79        2.72451600e-02        3.49310920e-08  78.7072  76.4825
0202-10-27_03:10:57.370000      27480.99        2.83567600e-02        3.97654320e-08  78.7072  76.4825
0202-10-27_03:10:57.566000      27481.19        2.92130900e-02        4.76987920e-08  78.7039  76.4928
0202-10-27_03:10:57.758000      27481.38        3.01584700e-02        6.24498120e-08  78.7039  76.4928
0202-10-27_03:10:57.965000      27481.58        3.10519100e-02        1.03169902e-07  78.7039  76.4928
0202-10-27_03:10:58.156000      27481.78        3.21071100e-02        1.37630032e-07  78.7039  76.4928
0202-10-27_03:10:58.350000      27481.97        3.31534100e-02        1.65520422e-07  78.7039  76.4928
0202-10-27_03:10:58.555000      27482.18        3.41136300e-02        1.90373862e-07  78.6806  76.4838
0202-10-27_03:10:58.754000      27482.38        3.53719300e-02        2.30040197e-07  78.6806  76.4838
0202-10-27_03:10:58.965000      27482.58        3.60872700e-02        2.62021179e-07  78.6806  76.4838
0202-10-27_03:10:59.156000      27482.78        3.71899700e-02        4.41697279e-07  78.6806  76.4838
0202-10-27_03:10:59.350000      27482.97        3.81101200e-02        6.67237684e-07  78.6806  76.4838
