# Ic = 4.20 A, n = 20.17 , Tavg = 23.24 K, BeamON-800keV-45nA-b
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-10-27_06:56:45.305000      41028.93        1.74902900e-02       -2.16976358e-07  23.2930  19.2047
0202-10-27_06:56:45.508000      41029.13        4.97266500e-02       -2.19765418e-07  23.2768  18.9702
0202-10-27_06:56:45.700000      41029.32        9.62520100e-02       -2.17348238e-07  23.2768  18.9702
0202-10-27_06:56:45.910000      41029.53        1.48993900e-01       -2.10840428e-07  23.2768  18.9702
0202-10-27_06:56:46.105000      41029.73        1.98831800e-01       -2.17038338e-07  23.2768  18.9702
0202-10-27_06:56:46.305000      41029.92        2.45020300e-01       -2.09477038e-07  23.2768  18.9702
0202-10-27_06:56:46.508000      41030.13        2.97660200e-01       -2.10283308e-07  23.2689  19.2670
0202-10-27_06:56:46.703000      41030.32        3.47015800e-01       -1.98569688e-07  23.2689  19.2670
0202-10-27_06:56:46.895000      41030.51        3.93162700e-01       -2.09354318e-07  23.2689  19.2670
0202-10-27_06:56:47.098000      41030.72        4.45559200e-01       -2.04829848e-07  23.2689  19.2670
0202-10-27_06:56:47.300000      41030.92        4.95999700e-01       -2.29497518e-07  23.2689  19.2670
0202-10-27_06:56:47.496000      41031.11        5.42966800e-01       -2.18589198e-07  23.2116  18.9929
0202-10-27_06:56:47.695000      41031.32        5.94691100e-01       -2.13568898e-07  23.2116  18.9929
0202-10-27_06:56:47.900000      41031.52        6.44263300e-01       -2.12205358e-07  23.2116  18.9929
0202-10-27_06:56:48.090000      41031.71        6.90865900e-01       -2.17659518e-07  23.2116  18.9929
0202-10-27_06:56:48.305000      41031.92        7.43437600e-01       -2.20076698e-07  23.2116  18.9929
0202-10-27_06:56:48.496000      41032.12        7.91120600e-01       -2.17411598e-07  23.2586  19.1469
0202-10-27_06:56:48.690000      41032.31        8.40017600e-01       -2.19394928e-07  23.2586  19.1469
0202-10-27_06:56:48.895000      41032.51        8.91738800e-01       -2.11585568e-07  23.2586  19.1469
0202-10-27_06:56:49.086000      41032.71        9.41534500e-01       -2.13197018e-07  23.2586  19.1469
0202-10-27_06:56:49.290000      41032.91        9.87127800e-01       -1.99375688e-07  23.2586  19.1469
0202-10-27_06:56:49.480000      41033.10        1.04067500e+00       -2.10779838e-07  23.2211  19.1779
0202-10-27_06:56:49.676000      41033.29        1.09059400e+00       -1.95285078e-07  23.2211  19.1779
0202-10-27_06:56:49.867000      41033.49        1.13805600e+00       -2.08734528e-07  23.2211  19.1779
0202-10-27_06:56:50.074000      41033.69        1.18680200e+00       -2.07618908e-07  23.2211  19.1779
0202-10-27_06:56:50.273000      41033.89        1.23883900e+00       -2.14188688e-07  23.2211  19.1779
0202-10-27_06:56:50.470000      41034.09        1.28875300e+00       -2.17535558e-07  23.2531  18.9961
0202-10-27_06:56:50.660000      41034.28        1.33626700e+00       -2.02970478e-07  23.2531  18.9961
0202-10-27_06:56:50.855000      41034.47        1.38522500e+00       -2.26088668e-07  23.2531  18.9961
0202-10-27_06:56:51.047000      41034.67        1.43725800e+00       -2.24477208e-07  23.2531  18.9961
0202-10-27_06:56:51.254000      41034.88        1.48721300e+00       -2.29931368e-07  23.2531  18.9961
0202-10-27_06:56:51.453000      41035.07        1.53343400e+00       -2.06565268e-07  23.2381  19.2300
0202-10-27_06:56:51.650000      41035.27        1.58611600e+00       -2.14870458e-07  23.2381  19.2300
0202-10-27_06:56:51.850000      41035.47        1.63584200e+00       -2.27886058e-07  23.2381  19.2300
0202-10-27_06:56:52.047000      41035.67        1.68329800e+00       -2.46355818e-07  23.2381  19.2300
0202-10-27_06:56:52.290000      41035.91        1.73534800e+00       -2.44248528e-07  23.2381  19.2300
0202-10-27_06:56:52.510000      41036.13        1.78528700e+00       -2.30302158e-07  23.2813  19.0204
0202-10-27_06:56:52.703000      41036.32        1.83456800e+00       -2.25033288e-07  23.2813  19.0204
0202-10-27_06:56:52.895000      41036.52        1.88442400e+00       -2.12822978e-07  23.2813  19.0204
0202-10-27_06:56:53.100000      41036.72        1.92922600e+00       -2.16107868e-07  23.2813  19.0204
0202-10-27_06:56:53.297000      41036.92        1.98327600e+00       -2.13504748e-07  23.2813  19.0204
0202-10-27_06:56:53.490000      41037.11        2.03317800e+00       -2.12265158e-07  23.2407  19.1091
