# Ic = 4.66 A, n = 28.09 , Tavg = 19.95 K, f33-2400keV-11nA-20K
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-12-20_17:53:20.656000      85415.81        4.87859400e-02       -1.29473535e-08  19.9741  19.6422
0202-12-20_17:53:20.887000      85416.04        9.20169800e-02       -9.91039350e-09  19.9741  19.6422
0202-12-20_17:53:21.080000      85416.23        1.91448800e-01       -1.14598635e-08  19.9428  19.9654
0202-12-20_17:53:21.290000      85416.44        2.90505400e-01       -3.21669350e-09  19.9428  19.9654
0202-12-20_17:53:21.480000      85416.63        3.84551400e-01       -8.36093350e-09  19.9428  19.9654
0202-12-20_17:53:21.680000      85416.83        4.87723200e-01       -7.74114350e-09  19.9428  19.9654
0202-12-20_17:53:21.900000      85417.05        5.84789400e-01       -6.99739350e-09  19.9428  19.9654
0202-12-20_17:53:22.105000      85417.26        6.85260200e-01       -1.21416335e-08  19.9910  19.6944
0202-12-20_17:53:22.297000      85417.45        7.84107300e-01       -6.56354350e-09  19.9910  19.6944
0202-12-20_17:53:22.490000      85417.64        8.73277900e-01       -2.53524350e-09  19.9910  19.6944
0202-12-20_17:53:22.690000      85417.84        9.81844600e-01       -1.97835350e-09  19.9910  19.6944
0202-12-20_17:53:22.900000      85418.05        1.08427900e+00       -1.57388535e-08  19.9910  19.6944
0202-12-20_17:53:23.094000      85418.24        1.17701500e+00       -1.90863235e-08  19.9620  19.7963
0202-12-20_17:53:23.297000      85418.45        1.27908400e+00       -1.32603235e-08  19.9620  19.7963
0202-12-20_17:53:23.490000      85418.64        1.37810600e+00       -1.20207535e-08  19.9620  19.7963
0202-12-20_17:53:23.684000      85418.84        1.46898200e+00       -1.20827335e-08  19.9620  19.7963
0202-12-20_17:53:23.890000      85419.04        1.57776000e+00       -1.66071735e-08  19.9620  19.7963
0202-12-20_17:53:24.086000      85419.24        1.67578600e+00       -1.71030035e-08  19.9740  19.9233
0202-12-20_17:53:24.277000      85419.43        1.76609200e+00       -2.10076635e-08  19.9740  19.9233
0202-12-20_17:53:24.480000      85419.63        1.87382100e+00       -1.62972835e-08  19.9740  19.9233
0202-12-20_17:53:24.676000      85419.83        1.97357300e+00       -1.07811835e-08  19.9740  19.9233
0202-12-20_17:53:24.880000      85420.03        2.06404700e+00       -4.64529350e-09  19.9740  19.9233
0202-12-20_17:53:25.080000      85420.23        2.16832600e+00       -5.20309350e-09  19.9747  19.6178
0202-12-20_17:53:25.270000      85420.42        2.27093200e+00       -8.30203350e-09  19.9747  19.6178
0202-12-20_17:53:25.473000      85420.62        2.36127400e+00       -9.72754350e-09  19.9747  19.6178
0202-12-20_17:53:25.664000      85420.82        2.46952400e+00       -1.25785635e-08  19.9747  19.6178
0202-12-20_17:53:25.870000      85421.02        2.57015200e+00       -1.01613935e-08  19.9747  19.6178
0202-12-20_17:53:26.080000      85421.23        2.65877000e+00       -4.89320350e-09  19.9555  19.9963
0202-12-20_17:53:26.280000      85421.43        2.76747200e+00       -3.40571350e-09  19.9555  19.9963
0202-12-20_17:53:26.484000      85421.63        2.86666800e+00       -3.65363350e-09  19.9555  19.9963
0202-12-20_17:53:26.676000      85421.83        2.96000000e+00       -1.28264735e-08  19.9555  19.9963
0202-12-20_17:53:26.880000      85422.03        3.06510100e+00       -1.74128935e-08  19.9555  19.9963
0202-12-20_17:53:27.080000      85422.23        3.16444200e+00       -1.66691535e-08  19.9857  19.6597
0202-12-20_17:53:27.273000      85422.43        3.25705900e+00       -1.62353035e-08  19.9857  19.6597
0202-12-20_17:53:27.477000      85422.63        3.36239500e+00       -1.84045535e-08  19.9857  19.6597
0202-12-20_17:53:27.676000      85422.83        3.46216100e+00       -1.43139635e-08  19.9857  19.6597
0202-12-20_17:53:27.875000      85423.03        3.55558200e+00       -1.34462635e-08  19.9857  19.6597
0202-12-20_17:53:28.082000      85423.23        3.66038000e+00       -7.80620350e-09  19.9802  19.8291
0202-12-20_17:53:28.273000      85423.43        3.75992900e+00       -8.30203350e-09  19.9802  19.8291
0202-12-20_17:53:28.465000      85423.62        3.85032900e+00       -8.92157350e-09  19.9802  19.8291
0202-12-20_17:53:28.668000      85423.82        3.95795300e+00       -1.07182135e-08  19.9802  19.8291
0202-12-20_17:53:28.875000      85424.03        4.05855900e+00       -8.17609350e-09  19.9802  19.8291
0202-12-20_17:53:29.070000      85424.22        4.15272900e+00       -1.48189350e-09  19.9697  19.8871
