# Ic = 4.46 A, n = 26.01 , Tavg = 19.99 K, f33-150keV241-nA-20K
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-12-20_18:53:06.324000      89001.48        4.88132100e-02       -6.07101350e-09  19.9791  19.8193
0202-12-20_18:53:06.520000      89001.67        4.42694100e-02       -6.19587350e-09  19.9791  19.8193
0202-12-20_18:53:06.723000      89001.88        9.77038500e-02       -1.21963500e-10  19.9791  19.8193
0202-12-20_18:53:06.920000      89002.07        1.48020100e-01        5.27018650e-09  19.9791  19.8193
0202-12-20_18:53:07.113000      89002.27        1.93882600e-01        1.06003565e-08  19.9619  19.6705
0202-12-20_18:53:07.320000      89002.47        2.46810900e-01        6.63371650e-09  19.9619  19.6705
0202-12-20_18:53:07.510000      89002.66        2.96030400e-01        2.97697650e-09  19.9619  19.6705
0202-12-20_18:53:07.703000      89002.86        3.41695500e-01        1.36552650e-09  19.9619  19.6705
0202-12-20_18:53:07.914000      89003.07        3.95588500e-01       -3.07893500e-10  19.9619  19.6705
0202-12-20_18:53:08.105000      89003.26        4.45103500e-01        8.69696500e-10  19.9607  19.9820
0202-12-20_18:53:08.297000      89003.45        4.89768300e-01        4.97826500e-10  19.9607  19.9820
0202-12-20_18:53:08.508000      89003.66        5.43655400e-01       -6.17793500e-10  19.9607  19.9820
0202-12-20_18:53:08.700000      89003.85        5.93407700e-01       -1.91934350e-09  19.9607  19.9820
0202-12-20_18:53:08.918000      89004.07        6.40963500e-01       -6.69170350e-09  19.9607  19.9820
0202-12-20_18:53:09.113000      89004.26        6.92357200e-01       -1.10302135e-08  19.9550  19.6259
0202-12-20_18:53:09.305000      89004.46        7.41754900e-01       -8.42711350e-09  19.9550  19.6259
0202-12-20_18:53:09.508000      89004.66        7.89704000e-01       -4.70838350e-09  19.9550  19.6259
0202-12-20_18:53:09.703000      89004.85        8.38963600e-01        3.11886500e-10  19.9550  19.6259
0202-12-20_18:53:09.895000      89005.05        8.90591900e-01        1.98531650e-09  19.9550  19.6259
0202-12-20_18:53:10.105000      89005.26        9.36531500e-01        2.17125650e-09  19.9605  19.9122
0202-12-20_18:53:10.310000      89005.46        9.87855500e-01        8.18318650e-09  19.9605  19.9122
0202-12-20_18:53:10.508000      89005.66        1.03917800e+00        6.44778650e-09  19.9605  19.9122
0202-12-20_18:53:10.703000      89005.86        1.08733800e+00        7.06756650e-09  19.9605  19.9122
0202-12-20_18:53:10.914000      89006.07        1.13661400e+00        2.72905650e-09  19.9605  19.9122
0202-12-20_18:53:11.105000      89006.26        1.18794500e+00        3.16290650e-09  19.9822  19.8186
0202-12-20_18:53:11.300000      89006.45        1.23743900e+00        1.24156650e-09  19.9822  19.8186
0202-12-20_18:53:11.500000      89006.65        1.28511200e+00        4.21654650e-09  19.9822  19.8186
0202-12-20_18:53:11.703000      89006.86        1.33445500e+00        7.45736500e-10  19.9822  19.8186
0202-12-20_18:53:11.910000      89007.06        1.38742300e+00        5.57977650e-09  19.9822  19.8186
0202-12-20_18:53:12.117000      89007.27        1.43458900e+00        5.51656650e-09  19.9539  19.6706
0202-12-20_18:53:12.310000      89007.46        1.48415000e+00        7.93282650e-09  19.9539  19.6706
0202-12-20_18:53:12.504000      89007.66        1.53524700e+00        3.34578650e-09  19.9539  19.6706
0202-12-20_18:53:12.707000      89007.86        1.58463200e+00        5.76295650e-09  19.9539  19.6706
0202-12-20_18:53:12.914000      89008.07        1.63273000e+00        4.70931650e-09  19.9539  19.6706
0202-12-20_18:53:13.105000      89008.26        1.68402600e+00        3.53172650e-09  19.9532  19.9840
0202-12-20_18:53:13.305000      89008.46        1.73322600e+00       -3.40989350e-09  19.9532  19.9840
0202-12-20_18:53:13.496000      89008.65        1.77898200e+00       -1.92240350e-09  19.9532  19.9840
0202-12-20_18:53:13.688000      89008.84        1.83252300e+00        2.60204650e-09  19.9532  19.9840
0202-12-20_18:53:13.900000      89009.05        1.87847300e+00        8.24210650e-09  19.9532  19.9840
0202-12-20_18:53:14.090000      89009.24        1.92774900e+00        4.33744650e-09  19.9967  19.6259
