# Ic = 7.93 A, n = 29.55 , Tavg = 64.05 K, f37-0e0pm2-64k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-15_12:15:20.800000      4114.00       -4.31185200e-01       -7.80773540e-08  64.0502  63.0350
0202-03-15_12:15:21.195000      4114.39       -4.33803100e-01       -6.97102540e-08  64.0502  63.0350
0202-03-15_12:15:21.590000      4114.79       -4.29025700e-01       -6.14051440e-08  64.0502  63.0350
0202-03-15_12:15:21.984000      4115.18       -8.34784700e-02       -4.57246040e-08  64.0808  62.9466
0202-03-15_12:15:22.390000      4115.59        1.19972500e-01       -6.38223040e-08  64.0808  62.9466
0202-03-15_12:15:22.797000      4115.99        5.07752300e-01       -5.88020540e-08  64.0403  62.9074
0202-03-15_12:15:23.210000      4116.41        8.94328300e-01       -5.62609340e-08  64.0403  62.9074
0202-03-15_12:15:23.610000      4116.81        1.10295900e+00       -4.82037340e-08  64.0403  62.9074
0202-03-15_12:15:24.010000      4117.21        1.49211900e+00       -3.16554940e-08  64.1137  62.9409
0202-03-15_12:15:24.414000      4117.61        1.69373800e+00       -4.11992840e-08  64.1137  62.9409
0202-03-15_12:15:24.820000      4118.02        2.08102300e+00       -2.36587840e-08  64.0382  62.9107
0202-03-15_12:15:25.215000      4118.41        2.29371100e+00       -3.68601940e-08  64.0382  62.9107
0202-03-15_12:15:25.610000      4118.81        2.67882200e+00       -3.97731840e-08  64.0382  62.9107
0202-03-15_12:15:26.004000      4119.20        2.88583600e+00       -4.22523240e-08  64.1115  62.9943
0202-03-15_12:15:26.410000      4119.60        3.27278300e+00       -5.36563640e-08  64.1115  62.9943
0202-03-15_12:15:26.820000      4120.02        3.46120900e+00       -4.93798540e-08  64.0879  62.9379
0202-03-15_12:15:27.215000      4120.41        3.87373700e+00       -4.71486240e-08  64.0879  62.9379
0202-03-15_12:15:27.625000      4120.82        4.06023700e+00       -4.76444540e-08  64.0879  62.9379
0202-03-15_12:15:28.030000      4121.23        4.46321600e+00       -6.08458640e-08  64.0892  62.9386
0202-03-15_12:15:28.430000      4121.63        4.64728800e+00       -6.61760140e-08  64.0892  62.9386
0202-03-15_12:15:28.840000      4122.04        5.05997500e+00       -6.33250040e-08  64.0418  62.9165
0202-03-15_12:15:29.242000      4122.44        5.24226900e+00       -6.57421640e-08  64.0418  62.9165
0202-03-15_12:15:29.637000      4122.83        5.63338100e+00       -6.92129640e-08  64.0418  62.9165
0202-03-15_12:15:30.030000      4123.23        5.83805400e+00       -6.42543940e-08  64.0980  62.9562
0202-03-15_12:15:30.434000      4123.63        6.23029300e+00       -6.64845840e-08  64.0980  62.9562
0202-03-15_12:15:30.840000      4124.03        6.43521200e+00       -7.72067240e-08  64.0546  62.9338
0202-03-15_12:15:31.250000      4124.45        6.82344900e+00       -6.61125640e-08  64.0546  62.9338
0202-03-15_12:15:31.668000      4124.86        7.02501600e+00       -7.36119640e-08  64.0546  62.9338
0202-03-15_12:15:32.082000      4125.28        7.41893500e+00       -4.76429740e-08  64.1065  62.9700
0202-03-15_12:15:32.477000      4125.67        7.62358900e+00       -1.98765940e-08  64.1065  62.9700
0202-03-15_12:15:32.880000      4126.07        8.01538700e+00        1.31784826e-07  64.0284  62.8905
0202-03-15_12:15:33.280000      4126.48        8.21969500e+00        4.96342436e-07  64.0284  62.8905
0202-03-15_12:15:33.688000      4126.88        8.61160400e+00        2.38457982e-06  64.0284  62.8905
0202-03-15_12:15:34.094000      4127.29        8.99722200e+00        8.82829976e-06  64.0861  62.9657
0202-03-15_12:15:34.490000      4127.69        9.20603000e+00        1.55354282e-05  64.0861  62.9657
0202-03-15_12:15:34.887000      4128.08        9.59860600e+00        4.33141321e-05  64.0493  62.9309
