# Ic = 24.85 A, n = 37.48 , Tavg = 20.00 K, f37-1p8e20pm2-1200keV-0nA-20k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-15_18:45:07.008000      3849.25        4.85108100e-01       -3.56722735e-08  19.9871  19.4762
0202-03-15_18:45:07.410000      3849.66        8.97153400e-01       -2.24707635e-08  19.9871  19.4762
0202-03-15_18:45:07.816000      3850.06        1.28227600e+00       -1.68926535e-08  19.9332  19.6439
0202-03-15_18:45:08.220000      3850.47        1.48832000e+00       -2.05494135e-08  19.9332  19.6439
0202-03-15_18:45:08.613000      3850.86        1.87795300e+00       -1.16864135e-08  19.9332  19.6439
0202-03-15_18:45:09.010000      3851.26        2.08191400e+00       -6.60413350e-09  19.9809  19.5540
0202-03-15_18:45:09.406000      3851.65        2.47050700e+00       -6.91403350e-09  19.9809  19.5540
0202-03-15_18:45:09.820000      3852.07        2.65319100e+00       -1.50952635e-08  19.9321  19.5109
0202-03-15_18:45:10.223000      3852.47        3.06284000e+00       -8.83538350e-09  19.9321  19.5109
0202-03-15_18:45:10.625000      3852.87        3.24507800e+00       -7.78173350e-09  19.9321  19.5109
0202-03-15_18:45:11.030000      3853.28        3.65158000e+00       -5.42653350e-09  19.9722  19.6632
0202-03-15_18:45:11.434000      3853.68        3.83545700e+00       -9.26923350e-09  19.9722  19.6632
0202-03-15_18:45:11.830000      3854.08        4.24258800e+00       -1.32978735e-08  19.9388  19.4411
0202-03-15_18:45:12.230000      3854.48        4.43260700e+00       -1.43515135e-08  19.9388  19.4411
0202-03-15_18:45:12.625000      3854.87        4.81637600e+00       -6.04797350e-09  19.9388  19.4411
0202-03-15_18:45:13.030000      3855.28        5.02203600e+00       -2.36524935e-08  19.9666  19.6573
0202-03-15_18:45:13.434000      3855.68        5.41152600e+00       -1.88181335e-08  19.9666  19.6573
0202-03-15_18:45:13.836000      3856.08        5.61757300e+00       -2.14832235e-08  19.9446  19.5058
0202-03-15_18:45:14.230000      3856.48        6.00119200e+00       -1.43556435e-08  19.9446  19.5058
0202-03-15_18:45:14.625000      3856.87        6.20942700e+00       -1.11327335e-08  19.9446  19.5058
0202-03-15_18:45:15.027000      3857.27        6.59754200e+00       -9.83118350e-09  19.9638  19.5396
0202-03-15_18:45:15.430000      3857.68        6.79777600e+00       -2.60076935e-08  19.9638  19.5396
0202-03-15_18:45:15.832000      3858.08        7.18596100e+00       -1.97478135e-08  19.9325  19.6228
0202-03-15_18:45:16.230000      3858.48        7.39309900e+00       -2.47061335e-08  19.9325  19.6228
0202-03-15_18:45:16.633000      3858.88        7.78207100e+00       -2.14212435e-08  19.9325  19.6228
0202-03-15_18:45:17.040000      3859.28        7.98341900e+00       -2.55118635e-08  19.9813  19.4772
0202-03-15_18:45:17.430000      3859.68        8.37589500e+00       -8.52962350e-09  19.9813  19.4772
0202-03-15_18:45:17.824000      3860.07        8.76590400e+00       -1.36738735e-08  19.9341  19.6245
0202-03-15_18:45:18.223000      3860.47        8.96463100e+00       -2.01816635e-08  19.9341  19.6245
0202-03-15_18:45:18.617000      3860.86        9.35424000e+00       -9.64626350e-09  19.9341  19.6245
0202-03-15_18:45:19.008000      3861.26        9.56436100e+00       -5.43270350e-09  19.9970  19.5740
0202-03-15_18:45:19.402000      3861.65        9.95012500e+00       -7.66394350e-09  19.9970  19.5740
0202-03-15_18:45:19.805000      3862.05        1.01550900e+01       -3.44938350e-09  19.9295  19.5054
0202-03-15_18:45:20.203000      3862.45        1.05397900e+01       -2.89157350e-09  19.9295  19.5054
0202-03-15_18:45:20.598000      3862.85        1.07481700e+01       -1.87581835e-08  19.9295  19.5054
0202-03-15_18:45:21.004000      3863.25        1.11351700e+01       -2.33376350e-09  19.9647  19.6644
0202-03-15_18:45:21.402000      3863.65        1.13206200e+01       -1.41097635e-08  19.9647  19.6644
0202-03-15_18:45:21.805000      3864.05        1.17316500e+01       -1.65889135e-08  19.9391  19.4603
0202-03-15_18:45:22.195000      3864.44        1.19143400e+01       -1.46675735e-08  19.9391  19.4603
0202-03-15_18:45:22.586000      3864.83        1.23219800e+01       -4.99885350e-09  19.9391  19.4603
0202-03-15_18:45:22.990000      3865.23        1.25055700e+01       -1.11347735e-08  19.9761  19.6690
0202-03-15_18:45:23.380000      3865.63        1.29158400e+01       -1.34279935e-08  19.9761  19.6690
0202-03-15_18:45:23.780000      3866.03        1.30992600e+01       -3.01003235e-08  19.9585  19.5327
0202-03-15_18:45:24.200000      3866.45        1.34855400e+01       -2.20432135e-08  19.9585  19.5327
0202-03-15_18:45:24.600000      3866.85        1.36919300e+01       -6.48754350e-09  19.9585  19.5327
0202-03-15_18:45:25             3867.25        1.40818400e+01       -2.83107350e-09  19.9812  19.5448
