# Ic = 4.93 A, n = 28.18 , Tavg = 20.06 K, f37-6e20pm2-1200keV-30nA-20k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-15_22:22:10.418000      7379.32        5.33539500e-02        9.33330250e-09  20.0823  19.6545
0202-03-15_22:22:10.625000      7379.52        1.77549400e-01        1.19984025e-08  20.0823  19.6545
0202-03-15_22:22:10.816000      7379.72        3.82460900e-01        1.44155825e-08  20.0823  19.6545
0202-03-15_22:22:11.008000      7379.91        5.79154900e-01        1.37338125e-08  20.0823  19.6545
0202-03-15_22:22:11.215000      7380.12        7.55620000e-01        9.27132250e-09  20.0823  19.6545
0202-03-15_22:22:11.420000      7380.32        9.72248900e-01        6.66820250e-09  20.0667  19.6089
0202-03-15_22:22:11.630000      7380.53        1.16971200e+00        9.33330250e-09  20.0667  19.6089
0202-03-15_22:22:11.820000      7380.72        1.35786500e+00        2.42702525e-08  20.0667  19.6089
0202-03-15_22:22:12.023000      7380.92        1.56455100e+00        2.18530725e-08  20.0667  19.6089
0202-03-15_22:22:12.227000      7381.13        1.76859500e+00        2.11713025e-08  20.0667  19.6089
0202-03-15_22:22:12.445000      7381.35        1.95300400e+00        1.52832925e-08  20.1060  19.6556
0202-03-15_22:22:12.660000      7381.56        2.16264900e+00        1.03869525e-08  20.1060  19.6556
0202-03-15_22:22:12.867000      7381.77        2.34464800e+00        1.00150725e-08  20.1060  19.6556
0202-03-15_22:22:13.070000      7381.97        2.55490900e+00        2.39165250e-09  20.1060  19.6556
0202-03-15_22:22:13.273000      7382.17        2.75452700e+00        2.45363250e-09  20.1060  19.6556
0202-03-15_22:22:13.473000      7382.37        2.94607600e+00        9.08539250e-09  20.0755  19.5833
0202-03-15_22:22:13.676000      7382.58        3.14375700e+00        1.62749525e-08  20.0755  19.5833
0202-03-15_22:22:13.870000      7382.77        3.34904100e+00        1.73905825e-08  20.0755  19.5833
0202-03-15_22:22:14.062000      7382.96        3.52875800e+00        1.59030825e-08  20.0755  19.5833
0202-03-15_22:22:14.270000      7383.17        3.74499000e+00        1.62129825e-08  20.0755  19.5833
0202-03-15_22:22:14.473000      7383.37        3.94701800e+00        2.36504625e-08  20.0609  19.7548
0202-03-15_22:22:14.680000      7383.58        4.13597200e+00        1.77624525e-08  20.0609  19.7548
0202-03-15_22:22:14.870000      7383.77        4.34098000e+00        2.23489025e-08  20.0609  19.7548
0202-03-15_22:22:15.066000      7383.96        4.53049100e+00        3.28853425e-08  20.0609  19.7548
0202-03-15_22:22:15.258000      7384.16        4.71893000e+00        6.88946125e-08  20.0609  19.7548
0202-03-15_22:22:15.465000      7384.36        4.93658800e+00        2.42619543e-07  20.0614  19.5630
0202-03-15_22:22:15.656000      7384.56        5.13614000e+00        5.24436313e-07  20.0614  19.5630
0202-03-15_22:22:15.850000      7384.75        5.31720500e+00        1.89076161e-06  20.0614  19.5630
0202-03-15_22:22:16.055000      7384.95        5.53523900e+00        6.22055038e-06  20.0614  19.5630
0202-03-15_22:22:16.246000      7385.15        5.73184500e+00        1.22631278e-05  20.0614  19.5630
