# Ic = 1.02 A, n = 22.67 , Tavg = 80.28 K, 80p3Kstep2beamoff_a
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-10-27_03:59:21.484000      30385.10        1.01750000e-02       -1.13805766e-07  80.2480  79.4820
0202-10-27_03:59:21.676000      30385.30        2.17436700e-02       -1.12070362e-07  80.2480  79.4820
0202-10-27_03:59:21.870000      30385.49        4.10742700e-02       -1.14921383e-07  80.2480  79.4820
0202-10-27_03:59:22.062000      30385.68        6.17138600e-02       -1.15727106e-07  80.2480  79.4820
0202-10-27_03:59:22.258000      30385.88        8.16752100e-02       -1.15975021e-07  80.2480  79.4820
0202-10-27_03:59:22.484000      30386.11        1.01452500e-01       -1.22606744e-07  80.3617  79.4830
0202-10-27_03:59:22.688000      30386.31        1.21373800e-01       -1.26325467e-07  80.3617  79.4830
0202-10-27_03:59:22.890000      30386.51        1.40607600e-01       -1.30601998e-07  80.3617  79.4830
0202-10-27_03:59:23.094000      30386.71        1.60356700e-01       -1.28246807e-07  80.3617  79.4830
0202-10-27_03:59:23.310000      30386.93        1.81417800e-01       -1.31531650e-07  80.3617  79.4830
0202-10-27_03:59:23.530000      30387.15        2.00803300e-01       -1.25085828e-07  80.2878  79.4789
0202-10-27_03:59:23.723000      30387.34        2.20751300e-01       -1.23970183e-07  80.2878  79.4789
0202-10-27_03:59:23.930000      30387.55        2.40386100e-01       -1.24589970e-07  80.2878  79.4789
0202-10-27_03:59:24.125000      30387.74        2.59848800e-01       -1.25705587e-07  80.2878  79.4789
0202-10-27_03:59:24.344000      30387.97        2.80757000e-01       -1.25829544e-07  80.2878  79.4789
0202-10-27_03:59:24.543000      30388.16        2.99527100e-01       -1.18640015e-07  80.3485  79.4752
0202-10-27_03:59:24.746000      30388.36        3.19196100e-01       -1.19011887e-07  80.3485  79.4752
0202-10-27_03:59:24.945000      30388.57        3.39954400e-01       -1.24589970e-07  80.3485  79.4752
0202-10-27_03:59:25.150000      30388.77        3.59666500e-01       -1.23350396e-07  80.3485  79.4752
0202-10-27_03:59:25.363000      30388.98        3.79348800e-01       -1.26449331e-07  80.3485  79.4752
0202-10-27_03:59:25.555000      30389.17        3.99455600e-01       -1.19135845e-07  80.2730  79.4651
0202-10-27_03:59:25.758000      30389.38        4.19154300e-01       -1.22792588e-07  80.2730  79.4651
0202-10-27_03:59:25.950000      30389.57        4.38176200e-01       -1.22854567e-07  80.2730  79.4651
0202-10-27_03:59:26.160000      30389.78        4.59184300e-01       -1.25829544e-07  80.2730  79.4651
0202-10-27_03:59:26.355000      30389.97        4.78841400e-01       -1.30725862e-07  80.2730  79.4651
0202-10-27_03:59:26.560000      30390.18        4.97186500e-01       -1.28866501e-07  80.3563  79.4615
0202-10-27_03:59:26.754000      30390.37        5.18403500e-01       -1.24837885e-07  80.3563  79.4615
0202-10-27_03:59:26.957000      30390.58        5.38148100e-01       -1.23908205e-07  80.3563  79.4615
0202-10-27_03:59:27.152000      30390.77        5.57232400e-01       -1.23784247e-07  80.3563  79.4615
0202-10-27_03:59:27.350000      30390.97        5.77895700e-01       -1.26883182e-07  80.3563  79.4615
0202-10-27_03:59:27.550000      30391.17        5.98001000e-01       -1.28060778e-07  80.2746  79.4696
0202-10-27_03:59:27.742000      30391.36        6.16134100e-01       -1.25395693e-07  80.2746  79.4696
0202-10-27_03:59:27.938000      30391.56        6.37331700e-01       -1.22048844e-07  80.2746  79.4696
0202-10-27_03:59:28.140000      30391.76        6.58127100e-01       -1.21676971e-07  80.2746  79.4696
0202-10-27_03:59:28.344000      30391.96        6.76363900e-01       -1.26449331e-07  80.2746  79.4696
0202-10-27_03:59:28.547000      30392.17        6.96172400e-01       -1.32523244e-07  80.2723  79.4614
0202-10-27_03:59:28.742000      30392.36        7.16302900e-01       -1.27812863e-07  80.2723  79.4614
0202-10-27_03:59:28.934000      30392.55        7.35608300e-01       -1.23784247e-07  80.2723  79.4614
0202-10-27_03:59:29.137000      30392.76        7.55523700e-01       -1.20871250e-07  80.2723  79.4614
0202-10-27_03:59:29.332000      30392.95        7.76049000e-01       -1.27750891e-07  80.3221  79.4820
0202-10-27_03:59:29.543000      30393.16        7.96897800e-01       -1.29362342e-07  80.3221  79.4820
0202-10-27_03:59:29.746000      30393.37        8.15005500e-01       -1.23412389e-07  80.3221  79.4820
0202-10-27_03:59:29.938000      30393.56        8.35753400e-01       -1.20809284e-07  80.3221  79.4820
0202-10-27_03:59:30.145000      30393.77        8.56265400e-01       -1.18144200e-07  80.3221  79.4820
0202-10-27_03:59:30.355000      30393.98        8.75187900e-01       -1.22048858e-07  80.3221  79.4820
0202-10-27_03:59:30.547000      30394.17        8.95395600e-01       -1.19259816e-07  80.2516  79.4450
0202-10-27_03:59:30.740000      30394.36        9.15383600e-01       -1.15665051e-07  80.2516  79.4450
0202-10-27_03:59:30.934000      30394.55        9.32901600e-01       -1.06678140e-07  80.2516  79.4450
0202-10-27_03:59:31.125000      30394.75        9.54940700e-01       -9.36626116e-08  80.2516  79.4450
0202-10-27_03:59:31.332000      30394.95        9.74698700e-01       -6.70117706e-08  80.2516  79.4450
0202-10-27_03:59:31.535000      30395.15        9.93465300e-01       -3.00724636e-08  80.4012  79.4850
0202-10-27_03:59:31.727000      30395.35        1.01398200e+00        2.70718984e-08  80.4012  79.4850
0202-10-27_03:59:31.920000      30395.54        1.03420600e+00        1.31877950e-07  80.4012  79.4850
0202-10-27_03:59:32.113000      30395.73        1.05325600e+00        2.76226765e-07  80.4012  79.4850
0202-10-27_03:59:32.320000      30395.94        1.07255400e+00        5.80047792e-07  80.4012  79.4850
0202-10-27_03:59:32.520000      30396.14        1.09380500e+00        8.94343661e-07  80.2295  79.4336
0202-10-27_03:59:32.710000      30396.33        1.11295300e+00        1.30830190e-06  80.2295  79.4336
0202-10-27_03:59:32.914000      30396.54        1.13219200e+00        2.64816554e-06  80.2295  79.4336
0202-10-27_03:59:33.110000      30396.73        1.15330800e+00        4.31887347e-06  80.2295  79.4336
0202-10-27_03:59:33.340000      30396.96        1.17409700e+00        6.48188117e-06  80.2295  79.4336
0202-10-27_03:59:33.530000      30397.15        1.19274100e+00        8.80876152e-06  80.2794  79.4473
0202-10-27_03:59:33.734000      30397.36        1.21269200e+00        1.16472791e-05  80.2794  79.4473
0202-10-27_03:59:33.926000      30397.55        1.23218200e+00        1.55037409e-05  80.2794  79.4473
0202-10-27_03:59:34.120000      30397.74        1.25161600e+00        1.86820276e-05  80.2794  79.4473
0202-10-27_03:59:34.320000      30397.94        1.27207600e+00        2.54526211e-05  80.2794  79.4473
