# Ic = 20.40 A, n = 27.72 , Tavg = 39.99 K, f37-0e0pm2-50k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-15_12:42:45.832000      5759.03       -4.28548900e-01       -3.60965205e-08  39.9882  39.4447
0202-03-15_12:42:46.240000      5759.43       -4.33186800e-01       -3.02705005e-08  39.9882  39.4447
0202-03-15_12:42:46.637000      5759.83       -3.10427900e-01       -4.04970205e-08  39.9882  39.4447
0202-03-15_12:42:47.040000      5760.23        7.45735300e-02       -3.03324805e-08  39.9871  39.4282
0202-03-15_12:42:47.440000      5760.64        2.80544800e-01       -3.43611105e-08  39.9871  39.4282
0202-03-15_12:42:47.855000      5761.05        6.74433100e-01       -3.58486005e-08  39.9943  39.4202
0202-03-15_12:42:48.258000      5761.45        1.05818800e+00       -4.43397105e-08  39.9943  39.4202
0202-03-15_12:42:48.690000      5761.89        1.26378400e+00       -3.91334905e-08  39.9943  39.4202
0202-03-15_12:42:49.113000      5762.31        1.65058300e+00       -4.07449405e-08  39.9880  39.4229
0202-03-15_12:42:49.504000      5762.70        1.85597000e+00       -4.45255005e-08  39.9880  39.4229
0202-03-15_12:42:49.920000      5763.12        2.24639100e+00       -5.44420605e-08  39.9859  39.4248
0202-03-15_12:42:50.330000      5763.52        2.45339600e+00       -5.15290505e-08  39.9859  39.4248
0202-03-15_12:42:50.746000      5763.94        2.83944200e+00       -5.23347805e-08  39.9859  39.4248
0202-03-15_12:42:51.140000      5764.34        3.04557600e+00       -6.09498505e-08  39.9959  39.4323
0202-03-15_12:42:51.543000      5764.74        3.43447900e+00       -6.07639105e-08  39.9959  39.4323
0202-03-15_12:42:51.950000      5765.14        3.61721600e+00       -5.46899805e-08  39.9815  39.4366
0202-03-15_12:42:52.348000      5765.54        4.02614500e+00       -4.54551205e-08  39.9815  39.4366
0202-03-15_12:42:52.773000      5765.97        4.21173800e+00       -4.27280505e-08  39.9815  39.4366
0202-03-15_12:42:53.176000      5766.37        4.62778500e+00       -2.56838505e-08  39.9838  39.4322
0202-03-15_12:42:53.582000      5766.78        4.80647500e+00       -1.32260805e-08  39.9838  39.4322
0202-03-15_12:42:53.984000      5767.18        5.21762000e+00       -2.12833405e-08  39.9888  39.4248
0202-03-15_12:42:54.387000      5767.58        5.40288000e+00       -2.81010205e-08  39.9888  39.4248
0202-03-15_12:42:54.785000      5767.98        5.79734300e+00       -4.34718005e-08  39.9793  39.4239
0202-03-15_12:42:55.176000      5768.37        5.99990300e+00       -3.67164005e-08  39.9793  39.4239
0202-03-15_12:42:55.574000      5768.77        6.39024800e+00       -3.63452405e-08  39.9793  39.4239
0202-03-15_12:42:55.977000      5769.17        6.59655400e+00       -3.33082805e-08  39.9905  39.4308
0202-03-15_12:42:56.383000      5769.58        6.98245400e+00       -2.46312305e-08  39.9905  39.4308
0202-03-15_12:42:56.780000      5769.98        7.18790400e+00       -1.47146105e-08  39.9833  39.4282
0202-03-15_12:42:57.176000      5770.37        7.57719800e+00       -6.59537050e-09  39.9833  39.4282
0202-03-15_12:42:57.570000      5770.77        7.78201100e+00       -1.70698005e-08  39.9833  39.4282
0202-03-15_12:42:57.970000      5771.16        8.17124300e+00       -1.99208305e-08  39.9827  39.4312
0202-03-15_12:42:58.370000      5771.57        8.37799100e+00       -2.54369605e-08  39.9827  39.4312
0202-03-15_12:42:58.800000      5772.00        8.76858900e+00       -2.06026005e-08  39.9914  39.4380
0202-03-15_12:42:59.203000      5772.40        9.15885100e+00       -4.17819050e-09  39.9914  39.4380
0202-03-15_12:42:59.600000      5772.80        9.36625400e+00       -3.35561905e-08  39.9914  39.4380
0202-03-15_12:42:59.600000      5773.20        9.75394100e+00       -2.00447905e-08  39.9891  39.4272
0202-03-15_12:43:00.390000      5773.59        9.96058300e+00       -9.50838050e-09  39.9891  39.4272
0202-03-15_12:43:00.790000      5773.99        1.03462400e+01        1.10066395e-08  39.9829  39.4201
0202-03-15_12:43:01.190000      5774.39        1.05526500e+01        1.26182495e-08  39.9829  39.4201
0202-03-15_12:43:01.582000      5774.78        1.09416800e+01        2.36506595e-08  39.9829  39.4201
0202-03-15_12:43:01.980000      5775.18        1.11485600e+01        2.30308695e-08  39.9917  39.4321
0202-03-15_12:43:02.387000      5775.58        1.15416700e+01        1.18746595e-08  39.9917  39.4321
0202-03-15_12:43:02.812000      5776.01        1.17244000e+01        1.11309195e-08  39.9852  39.4170
0202-03-15_12:43:03.215000      5776.41        1.21346600e+01        2.56339795e-08  39.9852  39.4170
0202-03-15_12:43:03.613000      5776.81        1.23142000e+01       -7.33880050e-09  39.9852  39.4170
0202-03-15_12:43:04.010000      5777.21        1.27235200e+01       -1.30408605e-08  39.9818  39.4184
0202-03-15_12:43:04.410000      5777.61        1.29103000e+01        1.44777795e-08  39.9818  39.4184
0202-03-15_12:43:04.816000      5778.01        1.33257700e+01        2.03037895e-08  39.9847  39.4180
0202-03-15_12:43:05.220000      5778.42        1.35108300e+01        5.24291950e-09  39.9847  39.4180
0202-03-15_12:43:05.613000      5778.81        1.38972200e+01        7.10228950e-09  39.9847  39.4180
0202-03-15_12:43:06.010000      5779.21        1.41004500e+01        3.25959950e-09  39.9893  39.4191
0202-03-15_12:43:06.406000      5779.60        1.44907000e+01        2.42084695e-08  39.9893  39.4191
0202-03-15_12:43:06.830000      5780.02        1.46952000e+01        1.85065895e-08  39.9798  39.4099
0202-03-15_12:43:07.227000      5780.42        1.50845100e+01        1.41074095e-08  39.9798  39.4099
0202-03-15_12:43:07.625000      5780.82        1.52885300e+01        1.29921695e-08  39.9798  39.4099
0202-03-15_12:43:08.030000      5781.23        1.56806000e+01        3.15238695e-08  39.9861  39.4207
0202-03-15_12:43:08.434000      5781.63        1.58864500e+01        2.90447095e-08  39.9861  39.4207
0202-03-15_12:43:08.824000      5782.02        1.62793300e+01        2.79910695e-08  39.9847  39.4249
0202-03-15_12:43:09.223000      5782.42        1.64865700e+01        1.20624895e-08  39.9847  39.4249
0202-03-15_12:43:09.613000      5782.81        1.68698800e+01        1.04510295e-08  39.9847  39.4249
0202-03-15_12:43:10.008000      5783.20        1.72642700e+01        2.08634895e-08  39.9885  39.4268
0202-03-15_12:43:10.410000      5783.61        1.74688700e+01        3.38790695e-08  39.9885  39.4268
0202-03-15_12:43:10.816000      5784.01        1.78588200e+01        3.42509395e-08  39.9933  39.4282
0202-03-15_12:43:11.210000      5784.41        1.80655500e+01        4.87540195e-08  39.9933  39.4282
0202-03-15_12:43:11.600000      5784.80        1.84527700e+01        5.02415095e-08  39.9933  39.4282
0202-03-15_12:43:12.004000      5785.20        1.86546000e+01        4.62128795e-08  39.9899  39.4177
0202-03-15_12:43:12.406000      5785.60        1.90449100e+01        5.37123295e-08  39.9899  39.4177
0202-03-15_12:43:12.816000      5786.01        1.92502400e+01        6.03436095e-08  39.9861  39.4187
0202-03-15_12:43:13.223000      5786.42        1.96406100e+01        8.81705095e-08  39.9861  39.4187
