# Ic = 5.09 A, n = 24.50 , Tavg = 27.04 K, f37-6e20pm2-1200keV-0nA-27k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-17_17:01:55.270000      150517.51        1.87963000e-02       -2.74391471e-09  27.0319  26.5593
0202-03-17_17:01:55.470000      150517.72        5.16965900e-02       -4.41735471e-09  27.0134  26.6277
0202-03-17_17:01:55.670000      150517.92        9.93758900e-02       -7.82619471e-09  27.0134  26.6277
0202-03-17_17:01:55.867000      150518.11        1.50082800e-01       -1.15449347e-08  27.0134  26.6277
0202-03-17_17:01:56.060000      150518.30        1.99522300e-01       -5.90484471e-09  27.0134  26.6277
0202-03-17_17:01:56.260000      150518.51        2.44693400e-01        4.17015294e-10  27.0134  26.6277
0202-03-17_17:01:56.470000      150518.71        2.98563100e-01       -8.84544706e-10  27.0705  26.6176
0202-03-17_17:01:56.676000      150518.92        3.48368400e-01       -2.06214471e-09  27.0705  26.6176
0202-03-17_17:01:56.867000      150519.11        3.95495600e-01       -1.62829471e-09  27.0705  26.6176
0202-03-17_17:01:57.060000      150519.31        4.46990600e-01       -1.65652447e-08  27.0705  26.6176
0202-03-17_17:01:57.260000      150519.51        4.96289100e-01       -2.51803247e-08  27.0705  26.6176
0202-03-17_17:01:57.470000      150519.72        5.43907600e-01       -5.46823447e-08  27.0186  26.5993
0202-03-17_17:01:57.684000      150519.93        5.95763200e-01       -5.77813047e-08  27.0186  26.5993
0202-03-17_17:01:57.880000      150520.12        6.43297100e-01       -3.55928047e-08  27.0186  26.5993
0202-03-17_17:01:58.080000      150520.33        6.92322500e-01       -4.35881047e-08  27.0186  26.5993
0202-03-17_17:01:58.285000      150520.53        7.43973100e-01       -4.87323647e-08  27.0186  26.5993
0202-03-17_17:01:58.484000      150520.73        7.93694600e-01       -6.67062847e-08  27.0395  26.6055
0202-03-17_17:01:58.688000      150520.93        8.40122800e-01       -6.24297247e-08  27.0395  26.6055
0202-03-17_17:01:58.883000      150521.13        8.92362800e-01       -4.45177847e-08  27.0395  26.6055
