# Ic = 6.65 A, n = 21.29 , Tavg = 39.05 K, f37-beamOnSet1-39K
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-05-12_20:29:59.910000      810.06        4.10753600e-01        6.72228462e-10  39.0505  38.7501
0202-05-12_20:30:00.305000      810.46        5.92738600e-01        4.45288846e-09  39.0505  38.7501
0202-05-12_20:30:00.770000      810.92        1.00264100e+00        2.38378462e-10  39.0505  38.7501
0202-05-12_20:30:01.170000      811.32        1.18596600e+00        4.39090846e-09  39.0562  38.7329
0202-05-12_20:30:01.574000      811.73        1.57425100e+00       -1.80690154e-09  39.0562  38.7329
0202-05-12_20:30:01.984000      812.14        1.77694200e+00        2.77947846e-09  39.0505  38.7265
0202-05-12_20:30:02.380000      812.53        2.17049200e+00        1.00928985e-08  39.0505  38.7265
0202-05-12_20:30:02.780000      812.93        2.37377300e+00        8.72937846e-09  39.0505  38.7265
0202-05-12_20:30:03.203000      813.36        2.76311700e+00        1.44933385e-08  39.0562  38.7327
0202-05-12_20:30:03.594000      813.75        2.96931300e+00        3.77183846e-09  39.0562  38.7327
0202-05-12_20:30:04.004000      814.15        3.36011700e+00        1.52382585e-08  39.0504  38.7402
0202-05-12_20:30:04.395000      814.55        3.56238600e+00        5.63164846e-09  39.0504  38.7402
0202-05-12_20:30:04.824000      814.98        3.95210300e+00        3.71032846e-09  39.0504  38.7402
0202-05-12_20:30:05.240000      815.39        4.34159300e+00        7.73890846e-09  39.0577  38.7454
0202-05-12_20:30:05.640000      815.79        4.54672100e+00        4.76395846e-09  39.0577  38.7454
0202-05-12_20:30:06.043000      816.20        4.93517600e+00        2.18079385e-08  39.0563  38.7189
0202-05-12_20:30:06.440000      816.60        5.13922700e+00        5.07384846e-09  39.0563  38.7189
0202-05-12_20:30:06.850000      817.01        5.52825600e+00        9.10242846e-09  39.0563  38.7189
0202-05-12_20:30:07.258000      817.41        5.73372100e+00        1.14575985e-08  39.0531  38.7422
0202-05-12_20:30:07.652000      817.80        6.12405400e+00        2.88734485e-08  39.0531  38.7422
0202-05-12_20:30:08.043000      818.20        6.32965200e+00        5.89328385e-08  39.0456  38.7325
0202-05-12_20:30:08.440000      818.59        6.72260700e+00        1.99685158e-07  39.0456  38.7325
0202-05-12_20:30:08.848000      819.00        6.92708900e+00        4.23674088e-07  39.0615  38.7317
0202-05-12_20:30:09.260000      819.41        7.31410600e+00        1.75149425e-06  39.0615  38.7317
0202-05-12_20:30:09.656000      819.81        7.52047500e+00        3.11867250e-06  39.0615  38.7317
0202-05-12_20:30:10.062000      820.21        7.91234400e+00        8.52347816e-06  39.0477  38.7292
0202-05-12_20:30:10.465000      820.62        8.09275900e+00        1.34917096e-05  39.0477  38.7292
0202-05-12_20:30:10.880000      821.03        8.50099700e+00        3.36713639e-05  39.0522  38.7592
