# Ic =  nan A, n =  nan , Tavg = 21.04 K, f37-beamOnSet1-21K
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-05-12_22:41:11.510000      2543.48        4.16292800e-01       -4.72463231e-09  21.0154  20.8496
0202-05-12_22:41:11.914000      2543.88        6.01774700e-01       -5.59233231e-09  21.0154  20.8496
0202-05-12_22:41:12.336000      2544.30        1.01180900e+00       -7.62823077e-11  21.0269  20.8919
0202-05-12_22:41:12.746000      2544.71        1.19605900e+00       -7.38969231e-09  21.0269  20.8919
0202-05-12_22:41:13.145000      2545.11        1.58467800e+00       -6.39804231e-09  21.0269  20.8919
0202-05-12_22:41:13.547000      2545.52        1.79269800e+00       -1.02406823e-08  21.0178  20.7546
0202-05-12_22:41:13.950000      2545.92        2.18116200e+00       -6.33392308e-10  21.0178  20.7546
0202-05-12_22:41:14.355000      2546.32        2.38495400e+00       -1.01136223e-08  21.0045  20.8965
0202-05-12_22:41:14.754000      2546.72        2.77450800e+00       -3.29568231e-09  21.0045  20.8965
0202-05-12_22:41:15.145000      2547.11        2.98044300e+00       -5.96074231e-09  21.0045  20.8965
0202-05-12_22:41:15.540000      2547.51        3.36993400e+00        3.52191769e-09  21.0370  20.7641
0202-05-12_22:41:15.934000      2547.90        3.57738300e+00        5.46967692e-10  21.0370  20.7641
0202-05-12_22:41:16.332000      2548.30        3.96545900e+00        2.46828769e-09  21.0252  20.8514
0202-05-12_22:41:16.742000      2548.71        4.35366200e+00        4.07971769e-09  21.0252  20.8514
0202-05-12_22:41:17.145000      2549.11        4.55959400e+00       -2.36601231e-09  21.0252  20.8514
0202-05-12_22:41:17.547000      2549.52        4.95070300e+00        7.86038769e-09  21.0216  20.9020
0202-05-12_22:41:17.940000      2549.91        5.15417000e+00        4.23007692e-10  21.0216  20.9020
0202-05-12_22:41:18.340000      2550.31        5.54133800e+00        3.89378769e-09  21.0268  20.7455
0202-05-12_22:41:18.734000      2550.70        5.74646400e+00       -6.51854231e-09  21.0268  20.7455
0202-05-12_22:41:19.140000      2551.11        6.13704100e+00       -4.10139231e-09  21.0268  20.7455
0202-05-12_22:41:19.550000      2551.52        6.34599600e+00       -8.16552308e-10  21.0041  20.8887
0202-05-12_22:41:19.950000      2551.92        6.73589800e+00       -3.91589231e-09  21.0041  20.8887
0202-05-12_22:41:20.355000      2552.32        6.94064700e+00       -9.43238231e-09  21.0271  20.8067
0202-05-12_22:41:20.760000      2552.73        7.32758700e+00        3.60167692e-10  21.0271  20.8067
0202-05-12_22:41:21.207000      2553.17        7.53246700e+00       -6.51940231e-09  21.0271  20.8067
0202-05-12_22:41:21.637000      2553.61        7.92818000e+00       -2.73874231e-09  21.0111  20.8336
0202-05-12_22:41:22.043000      2554.01        8.11219700e+00       -8.68864231e-09  21.0111  20.8336
0202-05-12_22:41:22.445000      2554.41        8.51723500e+00       -4.84600231e-09  21.0206  20.8830
0202-05-12_22:41:22.844000      2554.81        8.70196500e+00        4.07885769e-09  21.0206  20.8830
0202-05-12_22:41:23.277000      2555.24        9.11188700e+00        1.31896377e-08  21.0206  20.8830
0202-05-12_22:41:23.676000      2555.64        9.29806900e+00        1.35181769e-09  21.0192  20.7441
0202-05-12_22:41:24.070000      2556.04        9.68704800e+00        4.45072769e-09  21.0192  20.7441
0202-05-12_22:41:24.484000      2556.45        9.89128100e+00       -4.45552308e-10  21.0141  20.9218
0202-05-12_22:41:24.883000      2556.85        1.02812200e+01        2.15752769e-09  21.0141  20.9218
0202-05-12_22:41:25.305000      2557.27        1.04856700e+01        3.33511769e-09  21.0141  20.9218
0202-05-12_22:41:25.703000      2557.67        1.08779900e+01        1.57294877e-08  21.0281  20.7833
0202-05-12_22:41:26.100000      2558.07        1.10792300e+01        1.29995077e-08  21.0281  20.7833
0202-05-12_22:41:26.496000      2558.47        1.14700000e+01        3.83485277e-08  21.0080  20.8237
0202-05-12_22:41:26.890000      2558.86        1.16739700e+01        9.15876877e-08  21.0080  20.8237
0202-05-12_22:41:27.324000      2559.29        1.20641700e+01        2.25708208e-07  21.0080  20.8237
0202-05-12_22:41:27.730000      2559.70        1.22693700e+01        4.11642388e-07  21.0288  20.8748
0202-05-12_22:41:28.133000      2560.10        1.26604900e+01        8.68916508e-07  21.0288  20.8748
0202-05-12_22:41:28.540000      2560.51        1.28655800e+01        1.50691865e-06  21.0345  20.7757
0202-05-12_22:41:28.940000      2560.91        1.32533400e+01        3.97500890e-06  21.0345  20.7757
0202-05-12_22:41:29.350000      2561.32        1.34593300e+01        6.14163786e-06  21.0052  20.9154
0202-05-12_22:41:29.758000      2561.72        1.38485900e+01        1.34138332e-05  21.0052  20.9154
0202-05-12_22:41:30.150000      2562.12        1.40343800e+01        1.91360191e-05  21.0052  20.9154
0202-05-12_22:41:30.560000      2562.53        1.44437600e+01        4.33020047e-05  21.0377  20.7794
