# Ic = 6.47 A, n = 22.17 , Tavg = 39.98 K, f37-anneal300K256h-40K
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-05-12_00:50:06.640000      3049.29        4.23183000e-01        1.21770605e-08  39.9806  39.6616
0202-05-12_00:50:07.043000      3049.69        6.06861900e-01        1.78790505e-08  39.9806  39.6616
0202-05-12_00:50:07.440000      3050.09        1.01563300e+00        1.61436605e-08  39.9806  39.6616
0202-05-12_00:50:07.848000      3050.50        1.20116900e+00        1.45485053e-09  39.9631  39.6334
0202-05-12_00:50:08.250000      3050.90        1.59358200e+00        9.32607053e-09  39.9631  39.6334
0202-05-12_00:50:08.656000      3051.30        1.79637300e+00        2.13661053e-09  39.9885  39.6550
0202-05-12_00:50:09.047000      3051.70        2.18963800e+00        8.08651053e-09  39.9885  39.6550
0202-05-12_00:50:09.450000      3052.10        2.39474300e+00        9.57398053e-09  39.9605  39.6402
0202-05-12_00:50:09.848000      3052.50        2.78279500e+00        4.92563053e-09  39.9605  39.6402
0202-05-12_00:50:10.250000      3052.90        2.98395800e+00       -1.56809474e-10  39.9605  39.6402
0202-05-12_00:50:10.656000      3053.30        3.37349900e+00        1.37866505e-08  39.9884  39.6620
0202-05-12_00:50:11.047000      3053.70        3.57934600e+00        3.12597053e-09  39.9884  39.6620
0202-05-12_00:50:11.445000      3054.09        3.96913000e+00        1.52116905e-08  39.9711  39.6476
0202-05-12_00:50:11.844000      3054.49        4.35546200e+00        6.90663053e-09  39.9711  39.6476
0202-05-12_00:50:12.254000      3054.90        4.55890600e+00        6.22487053e-09  39.9711  39.6476
0202-05-12_00:50:12.652000      3055.30        4.95023600e+00        1.36002605e-08  39.9728  39.6580
0202-05-12_00:50:13.047000      3055.70        5.15431800e+00        1.06253105e-08  39.9728  39.6580
0202-05-12_00:50:13.457000      3056.11        5.54467600e+00        2.11615805e-08  39.9660  39.6286
0202-05-12_00:50:13.860000      3056.51        5.75100200e+00        1.92402605e-08  39.9660  39.6286
0202-05-12_00:50:14.258000      3056.91        6.13889700e+00        5.69229105e-08  39.9660  39.6286
0202-05-12_00:50:14.660000      3057.31        6.34198000e+00        1.23611291e-07  39.9878  39.6673
0202-05-12_00:50:15.062000      3057.71        6.73156300e+00        4.24824611e-07  39.9878  39.6673
0202-05-12_00:50:15.457000      3058.11        6.93761000e+00        9.83866611e-07  39.9801  39.6334
0202-05-12_00:50:15.855000      3058.51        7.32818500e+00        3.86646563e-06  39.9801  39.6334
0202-05-12_00:50:16.250000      3058.90        7.53271800e+00        6.73970685e-06  39.9801  39.6334
0202-05-12_00:50:16.656000      3059.31        7.92549000e+00        1.74540414e-05  39.9780  39.6573
0202-05-12_00:50:17.050000      3059.70        8.10781600e+00        2.62848610e-05  39.9780  39.6573
