% Model:              BeamAdsorber_3D+2D__20K_sensorVarCurr_2400keV_Apiezon_f37_FINAL.mph
% Version:            COMSOL 6.2.0.290
% Date:               May 22 2024, 13:56
% Table:              Table 6 - Global Evaluation 2
% Iop (A)                hKapton (m)              SensPos (m)              REBCO (K)                Sensor (K)
0                        7.0E-6                   -5.0E-4                  8.881784197001252E-14    -6.288303211476887E-13
5                        7.0E-6                   -5.0E-4                  1.4752793514183402       0.13029835885616237
10                       7.0E-6                   -5.0E-4                  2.948450400396883        0.2610466474349167
15                       7.0E-6                   -5.0E-4                  4.418230040220042        0.392029048002712
20                       7.0E-6                   -5.0E-4                  5.8823725131911395       0.5233482487799463
25                       7.0E-6                   -5.0E-4                  7.3443199179812915       0.6550145208156479
30                       7.0E-6                   -5.0E-4                  8.803852490554153        0.7869322207559648
35                       7.0E-6                   -5.0E-4                  10.257923223980406       0.9191574409107588
40                       7.0E-6                   -5.0E-4                  11.715821384704661       1.0516910774051595
45                       7.0E-6                   -5.0E-4                  13.168372270716098       1.1845149346610384
50                       7.0E-6                   -5.0E-4                  14.618864894889562       1.317660484824838
55                       7.0E-6                   -5.0E-4                  16.0686810843969         1.4510923074877766
60                       7.0E-6                   -5.0E-4                  17.515717507534482       1.5847926207397443
65                       7.0E-6                   -5.0E-4                  18.96005083828164        1.7187890608990308
70                       7.0E-6                   -5.0E-4                  20.404091104361626       1.8530644539209717
75                       7.0E-6                   -5.0E-4                  21.84782314756781        1.987582197782551
80                       7.0E-6                   -5.0E-4                  23.291153254524062       2.1223224933722236
85                       7.0E-6                   -5.0E-4                  24.734014352093453       2.2572723092383775
90                       7.0E-6                   -5.0E-4                  26.175676086349213       2.3924144943762684
