% Model:              BeamAdsorber_3D+2D__20K_sensorVarCurr_1200keV_Apiezon_f29.mph
% Version:            COMSOL 6.2.0.290
% Date:               May 22 2024, 08:56
% Table:              Table 3 - Global Evaluation 2
% Iop (A)                hKapton (m)              SensPos (m)              REBCO (K)                Sensor (K)
25                       1.8E-5                   5.0E-4                   9.120736799399833        1.702586059282993
25.5                     1.8E-5                   5.0E-4                   9.30169590349771         1.7368738608862273
26                       1.8E-5                   5.0E-4                   9.482556961396487        1.7711751160312126
26.5                     1.8E-5                   5.0E-4                   9.663388972626567        1.8054892209220554
27                       1.8E-5                   5.0E-4                   9.84427020604888         1.8398168527672425
27.5                     1.8E-5                   5.0E-4                   10.025177877275738       1.8741543653151425
28                       1.8E-5                   5.0E-4                   10.206107338348875       1.9085029608662936
28.5                     1.8E-5                   5.0E-4                   10.38705436956971        1.9428609032844086
29                       1.8E-5                   5.0E-4                   10.568016231509521       1.9772277343532423
29.5                     1.8E-5                   5.0E-4                   10.748991140496596       2.0116036264341517
30                       1.8E-5                   5.0E-4                   10.929976007146685       2.045988117827143
30.5                     1.8E-5                   5.0E-4                   11.110970701160266       2.0803799477189955
31                       1.8E-5                   5.0E-4                   11.29197266057773        2.114780191202314
