% Model:              BeamAdsorber_3D+2D__20K_sensorVarCurr_150keV_Apiezon_f28.mph
% Version:            COMSOL 6.2.0.290
% Date:               Aug 8 2024, 16:19
% Table:              Table 3 - Global Evaluation 2
% Iop (A)                hKapton (m)              SensPos (m)              REBCO (K)                Sensor (K)
5                        1.3E-5                   -5.0E-4                  1.4889619362414805       0.20805635677608336
10                       1.3E-5                   -5.0E-4                  2.975897726654061        0.41671701627487323
15                       1.3E-5                   -5.0E-4                  4.459517582517051        0.6256438225147143
20                       1.3E-5                   -5.0E-4                  5.937722836152993        0.8350165112217098
25                       1.3E-5                   -5.0E-4                  7.413906941038629        1.0448631408201798
30                       1.3E-5                   -5.0E-4                  8.887559179536844        1.2551716060865203
35                       1.3E-5                   -5.0E-4                  10.358228039531472       1.4660644245974588
40                       1.3E-5                   -5.0E-4                  11.828102161544848       1.677493015182531
45                       1.3E-5                   -5.0E-4                  13.294979096050156       1.8893790823780883
50                       1.3E-5                   -5.0E-4                  14.760029429929716       2.1017564165091187
55                       1.3E-5                   -5.0E-4                  16.224309556520744       2.314557074841133
60                       1.3E-5                   -5.0E-4                  17.685784415766065       2.5277657588052485
65                       1.3E-5                   -5.0E-4                  19.144794030819398       2.741409467492197
70                       1.3E-5                   -5.0E-4                  20.60359412197198        2.9554474713199745
75                       1.3E-5                   -5.0E-4                  22.062095774344613       3.169827774969111
80                       1.3E-5                   -5.0E-4                  23.52019635696488        3.3845077193778366
85                       1.3E-5                   -5.0E-4                  24.977850867643028       3.599409612579862
90                       1.3E-5                   -5.0E-4                  26.434122048039022       3.8145038750194225
95                       1.3E-5                   -5.0E-4                  27.88853667583568        4.029764369617411
100                      1.3E-5                   -5.0E-4                  29.34185606062391        4.245188025109858
105                      1.3E-5                   -5.0E-4                  30.795787786443924       4.460759713061517
110                      1.3E-5                   -5.0E-4                  32.25012708839671        4.676449017895212
115                      1.3E-5                   -5.0E-4                  33.70463954800055        4.89223430433313
120                      1.3E-5                   -5.0E-4                  35.15896116841707        5.108117029478024
125                      1.3E-5                   -5.0E-4                  36.61308959267666        5.324091127354947
130                      1.3E-5                   -5.0E-4                  38.06701981990864        5.5401305625118376
