% Model:              BeamAdsorber_3D+2D__20K_sensorVarCurr_150keV_Apiezon_f29-2.mph
% Version:            COMSOL 6.2.0.290
% Date:               Aug 8 2024, 13:39
% Table:              Table 3 - Global Evaluation 2
% Iop (A)                hKapton (m)              SensPos (m)              REBCO (K)                Sensor (K)
0.5                      1.6E-5                   -5.0E-4                  0.33353996022976773      0.05576939217222687
1.5                      1.6E-5                   -5.0E-4                  0.9994797030096301       0.167510202855226
2.5                      1.6E-5                   -5.0E-4                  1.6648559436180115       0.2794554663531308
3.5                      1.6E-5                   -5.0E-4                  2.330078633261124        0.3914843172693736
4.5                      1.6E-5                   -5.0E-4                  2.994976900140756        0.5035603453603095
5.5                      1.6E-5                   -5.0E-4                  3.659400147983174        0.6156749478236385
6.5                      1.6E-5                   -5.0E-4                  4.322557797392495        0.7278508903874403
7.5                      1.6E-5                   -5.0E-4                  4.984547934282631        0.8401260177607703
8.5                      1.6E-5                   -5.0E-4                  5.6456377955248875       0.9525046646418005
9.5                      1.6E-5                   -5.0E-4                  6.305964929948146        1.065015942703475
10.5                     1.6E-5                   -5.0E-4                  6.96625473277868         1.177667278442872
11.5                     1.6E-5                   -5.0E-4                  7.626496031533364        1.2904342908157744
12.5                     1.6E-5                   -5.0E-4                  8.286284695226417        1.4033053908798827
13.5                     1.6E-5                   -5.0E-4                  8.944517244303928        1.516301608921367
14.5                     1.6E-5                   -5.0E-4                  9.602785626843769        1.6294098842831346
15.5                     1.6E-5                   -5.0E-4                  10.259955807224365       1.742703652968025
16.5                     1.6E-5                   -5.0E-4                  10.917363196965592       1.8561136229284934
17.5                     1.6E-5                   -5.0E-4                  11.574832411070823       1.9696251981999993
18.5                     1.6E-5                   -5.0E-4                  12.231654502782426       2.083236235253775
